Time,X,Y,Z,Sound
309,20.29,-16.36,-5.33,2.55
314,12.07,-3.03,-2.88,2.54
319,5.48,2.95,-3.95,2.56
346,4.72,1.51,-0.22,2.54
373,9.66,-1.85,1.87,2.53
400,6.67,2.79,-1.95,2.57
428,10.38,-0.08,3.39,2.53
455,9.79,-6.59,-3.92,2.53
483,8.38,2.88,0.94,2.55
509,12.72,-0.81,-0.29,2.53
538,13.16,-4.79,-2.97,2.55
568,12.89,2.14,-0.92,2.56
595,3.27,2.04,0.23,2.53
622,11.22,-6.13,-8.20,2.54
651,2.27,-1.67,-3.79,2.55
678,12.50,-1.93,2.04,2.54
707,7.00,1.25,-6.61,2.54
734,13.58,1.42,1.55,2.54
761,10.69,0.46,-2.86,2.54
789,14.15,1.01,4.53,2.56
816,6.00,-4.27,-5.74,2.54
844,6.80,-3.73,-1.97,2.53
872,11.00,-1.25,-2.16,2.54
902,9.01,0.06,-2.16,2.54
928,16.53,-3.22,2.91,2.53
957,10.39,-5.34,-9.64,2.55
986,9.45,-1.63,-1.36,2.52
1013,10.60,-2.14,-1.93,2.53
1044,10.62,-1.82,-3.86,2.54
1074,9.28,4.21,-0.09,2.54
1102,7.36,-0.57,-2.73,2.53
1131,8.81,-4.09,-0.47,2.55
1161,11.52,-1.58,-0.06,2.53
1190,8.45,-1.00,-0.49,2.55
1220,19.21,0.33,5.18,2.54
1248,3.76,-0.47,-5.19,2.54
1276,6.66,0.17,-2.16,2.55
1305,7.39,3.71,-4.93,2.55
1333,12.27,-1.22,2.55,2.53
1362,12.39,-3.74,-4.87,2.53
1392,7.89,-1.79,-4.32,2.54
1422,9.89,-1.70,-2.12,2.54
1451,9.88,-1.06,-0.63,2.52
1479,9.92,0.23,-1.44,2.54
1508,13.27,-1.33,0.76,2.53
1537,10.28,-1.51,-0.85,2.54
1567,12.79,-4.98,-1.79,2.54
1597,8.82,-2.01,-0.20,2.53
1627,10.87,-4.29,-4.26,2.55
1656,11.24,-0.95,-0.12,2.54
1687,5.78,-2.54,-2.73,2.54
1716,7.92,-1.86,-2.51,2.55
1744,9.09,-1.68,-1.38,2.55
1774,11.67,-1.60,-1.98,2.54
1804,10.21,-1.58,-1.22,2.54
1835,10.81,-3.72,-2.23,2.53
1864,9.30,-1.95,-3.99,2.53
1894,8.68,-4.21,-4.62,2.53
1923,9.00,-1.47,0.87,2.53
1951,8.93,-6.84,-8.65,2.53
1980,6.01,-4.53,-1.73,2.55
2009,8.58,-0.46,-4.12,2.54
2038,10.46,-6.49,-8.99,2.53
2068,10.99,-2.08,-0.31,2.53
2099,8.23,-5.89,-5.23,2.54
2127,7.71,-2.46,1.50,2.55
2156,15.64,-4.13,-7.06,2.54
2186,5.44,-0.21,0.61,2.54
2213,11.31,-0.83,-0.14,2.53
2244,13.80,-0.09,-0.87,2.55
2274,9.53,-3.08,1.16,2.53
2302,5.01,-2.73,1.89,2.54
2330,9.47,-5.67,0.77,2.54
2359,5.78,-4.03,-6.97,2.55
2387,10.10,4.75,-1.33,2.54
2417,6.84,-3.36,-3.17,2.56
2446,9.02,0.79,0.05,2.54
2472,7.02,0.06,-7.38,2.55
2501,14.28,-4.72,-1.50,2.54
2531,8.71,-0.66,-1.12,2.55
2561,12.68,-3.71,-2.77,2.53
2590,7.33,-1.68,-0.98,2.54
2620,12.13,-5.32,-2.57,2.53
2650,9.91,-2.77,-0.11,2.53
2678,7.21,1.62,2.67,2.52
2706,9.23,-4.33,-4.94,2.54
2735,6.13,-0.50,4.07,2.53
2763,4.83,-2.71,-2.20,2.54
2792,9.10,-1.66,2.19,2.53
2821,7.27,-0.50,-2.27,2.54
2849,11.23,-4.72,-1.41,2.55
2879,10.21,-3.94,-0.72,2.54
2910,10.34,-2.61,0.10,2.54
2938,12.72,-0.73,-6.97,2.53
2969,5.58,-0.48,-3.61,2.54
2998,24.19,-7.05,-2.79,2.53
3028,3.19,0.51,1.45,2.55
3055,-0.01,-0.61,-3.72,2.54
3086,8.78,2.21,-4.03,2.52
3113,11.79,1.12,1.46,2.54
3141,5.75,-5.63,-4.90,2.54
3171,6.61,-4.32,-1.72,2.53
3200,6.60,-0.63,-4.43,2.53
3229,6.79,-1.44,-2.77,2.54
3258,5.94,-3.44,-0.36,2.54
3288,9.36,-1.22,1.16,2.55
3315,10.82,-10.90,-8.40,2.52
3347,16.69,-2.22,-4.07,2.50
3377,11.67,-3.58,-0.28,2.54
3406,12.91,-1.81,1.26,2.54
3436,11.44,-0.51,-1.37,2.53
3466,11.63,-0.25,1.81,2.56
3495,11.92,-2.88,-2.72,2.54
3525,11.85,-1.81,2.04,2.54
3555,10.62,-3.79,-3.73,2.54
3585,10.61,6.05,1.79,2.53
3612,8.41,-2.44,-0.23,2.53
3642,12.78,-3.14,-2.55,2.54
3672,13.69,1.31,0.18,2.55
3700,12.84,-0.10,4.17,2.53
3729,10.71,-3.68,-2.37,2.53
3760,10.57,0.16,0.15,2.55
3787,12.93,1.33,1.07,2.54
3816,11.65,-2.34,3.14,2.53
3845,9.69,1.40,-4.74,2.53
3872,11.97,-3.55,4.42,2.54
3902,8.66,-3.80,0.45,2.51
3930,6.47,-6.75,-3.52,2.52
3959,6.89,-0.70,-3.18,2.54
3988,7.51,1.87,3.74,2.54
4016,7.59,-2.83,-0.58,2.53
4044,10.80,-4.55,-4.00,2.55
4074,3.34,-0.75,-3.91,2.54
4104,11.55,-3.31,1.95,2.56
4132,6.56,3.11,1.77,2.55
4160,8.88,-3.57,-2.97,2.53
4189,5.74,-2.03,0.46,2.55
4217,6.68,-2.41,3.20,2.55
4245,10.00,-2.92,-5.80,2.54
4275,10.32,3.24,1.54,2.54
4303,11.43,-3.27,-3.55,2.55
4333,10.66,-2.66,-2.52,2.55
4364,8.57,-1.40,2.23,2.54
4391,7.06,0.37,4.02,2.51
4419,10.97,-1.07,0.77,2.54
4448,10.96,-1.24,-1.43,2.54
4477,9.32,-1.67,-1.85,2.54
4507,9.59,-2.07,-2.47,2.54
4536,9.46,-1.96,-7.11,2.53
4566,6.59,-2.16,-1.78,2.55
4594,10.75,-2.72,0.90,2.53
4624,9.47,-1.51,-4.79,2.54
4653,11.18,-0.25,-3.52,2.54
4683,8.89,-2.44,-0.67,2.55
4712,8.55,-3.83,-2.30,2.55
4741,6.02,-0.05,-0.69,2.54
4770,9.70,-0.43,2.47,2.54
4798,10.66,0.29,-1.35,2.54
4828,9.12,-3.37,-2.95,2.54
4856,7.61,-2.72,-1.63,2.54
4886,10.40,-2.39,-1.02,2.54
4916,11.47,-1.82,1.97,2.54
4945,10.67,-2.34,-0.58,2.56
4975,10.61,-1.83,2.50,2.54
5004,10.47,0.94,0.46,2.53
