"Time,X,Y,Z,Sound"
"309,50.98,-6.24,-9.81,2.50"
"414,9.52,-0.38,-4.24,2.51"
"519,10.06,1.90,0.88,2.50"
"623,9.13,-0.54,-4.79,2.52"
"729,7.68,1.10,-2.74,2.50"
"833,8.72,-1.92,-2.89,2.50"
"939,7.59,-1.61,-0.93,2.51"
"1043,9.28,-0.28,-2.41,2.52"
"1147,7.59,0.65,-1.78,2.51"
"1253,7.28,1.96,-3.81,2.50"
"1357,5.51,-1.39,-2.64,2.53"
"1463,6.28,-1.25,-2.76,2.52"
"1567,8.02,-1.90,0.42,2.51"
"1673,8.45,-0.36,-3.04,2.49"
"1777,7.66,-2.61,-4.22,2.50"
"1883,7.94,-1.26,-3.73,2.51"
"1987,8.26,-0.15,-5.27,2.48"
"2092,10.81,2.04,3.68,2.51"
"2197,11.26,3.94,-1.73,2.50"
"2301,9.26,-0.65,-2.91,2.50"
"2407,14.22,1.32,-4.18,2.50"
"2511,12.33,-0.34,-0.88,2.50"
"2617,8.33,-0.14,-9.16,2.53"
"2721,5.10,2.30,-1.62,2.50"
"2827,8.42,-2.01,-5.82,2.48"
"2931,7.38,-0.15,-4.75,2.50"
"3037,12.47,1.67,-1.00,2.50"
"3141,4.93,-0.92,-5.54,2.51"
"3247,5.32,-1.31,-2.89,2.51"
"3351,7.51,1.87,-5.47,2.50"
"3456,4.25,2.81,2.04,2.51"
"3561,9.33,0.76,-0.51,2.50"
"3665,10.86,-1.52,-4.98,2.51"
"3771,8.39,-3.13,-3.96,2.50"
"3875,9.62,-0.44,-0.69,2.49"
"3981,8.89,1.08,-1.56,2.51"
"4085,12.49,2.40,0.62,2.50"
"4191,4.67,0.10,-6.01,2.50"
"4295,8.61,-0.35,-3.36,2.51"
"4401,7.85,-0.17,-2.83,2.51"
"4505,9.82,-1.93,-4.75,2.51"
"4610,12.40,-1.89,-3.75,2.51"
"4715,6.97,0.70,-3.75,2.49"
"4819,9.75,-0.36,-3.08,2.51"
"4925,11.26,-3.60,-7.61,2.51"
"5029,5.32,1.28,1.36,2.50"
"5135,12.41,0.88,-4.77,2.50"
"5239,9.99,-5.52,-3.16,2.50"
"5345,6.84,3.06,-1.91,2.52"
"5449,6.70,-1.38,-3.80,2.49"
"5555,8.74,-0.05,4.81,2.52"
"5659,11.90,-0.29,-5.38,2.50"
"5764,7.51,0.38,-0.92,2.50"
"5869,6.56,0.20,-3.47,2.50"
"5974,11.72,3.73,1.28,2.52"
"6079,13.48,-2.41,-3.40,2.51"
"6183,7.18,0.51,-1.69,2.50"
"6289,11.67,1.02,-2.70,2.51"
"6393,5.70,-0.12,-2.97,2.50"
"6499,8.19,1.12,-5.26,2.51"
"6603,6.24,0.98,-1.29,2.53"
"6709,9.46,2.53,2.47,2.50"
"6813,13.73,-0.81,-0.57,2.48"
"6918,9.60,-1.76,-4.13,2.49"
"7023,6.88,0.04,-2.70,2.52"
"7128,13.23,0.69,-1.85,2.50"
"7233,6.80,0.12,-2.00,2.51"
"7337,9.42,0.45,1.05,2.50"
"7443,8.38,0.32,0.66,2.52"
"7547,11.80,0.77,-0.44,2.49"
"7653,10.54,1.85,-3.87,2.50"
"7757,8.14,5.05,0.24,2.51"
"7863,13.86,-0.84,0.24,2.51"
