=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.28 10:47:00 =~=~=~=~=~=~=~=~=~=~=~=
Time,X,Y,Z,Sound
309,38.28,1.92,-7.83,2.53
314,9.53,0.58,-1.92,2.53
318,9.59,0.46,-1.96,2.53
342,9.60,0.59,-1.96,2.53
369,9.54,0.57,-1.99,2.53
396,9.60,0.57,-1.89,2.53
423,9.56,0.57,-1.98,2.53
450,9.55,0.52,-2.03,2.53
477,9.55,0.58,-2.02,2.53
504,9.57,0.52,-1.99,2.53
531,9.57,0.54,-2.00,2.52
559,9.61,0.59,-1.95,2.53
585,9.65,0.54,-2.00,2.53
612,9.62,0.49,-1.94,2.52
640,9.66,0.52,-2.02,2.53
666,9.52,0.53,-1.96,2.52
694,9.60,0.60,-1.94,2.53
720,9.60,0.56,-1.97,2.53
747,9.65,0.53,-2.00,2.53
775,9.57,0.53,-1.93,2.53
801,9.56,0.52,-2.01,2.53
829,9.57,0.51,-2.02,2.53
856,9.51,0.54,-1.98,2.53
882,9.63,0.52,-1.98,2.53
910,9.56,0.54,-1.91,2.53
936,9.55,0.56,-1.97,2.53
964,9.58,0.57,-1.96,2.53
991,9.57,0.52,-2.04,2.53
1018,9.61,0.56,-2.00,2.53
1046,9.59,0.53,-1.88,2.53
1074,9.55,0.55,-2.03,2.53
1102,9.59,0.51,-1.95,2.53
1130,9.63,0.58,-1.94,2.52
1159,9.61,0.51,-1.96,2.53
1186,9.65,0.54,-1.98,2.53
1214,9.54,0.54,-1.93,2.52
1243,9.62,0.51,-1.96,2.53
1270,9.63,0.45,-1.95,2.53
1299,9.51,0.50,-1.97,2.52
1327,9.66,0.52,-1.96,2.53
1355,9.53,0.56,-2.00,2.53
1383,9.54,0.54,-1.92,2.53
1411,9.65,0.58,-2.00,2.53
1439,9.59,0.55,-1.96,2.53
1467,9.58,0.55,-1.94,2.53
1496,9.56,0.54,-1.94,2.53
1523,9.50,0.53,-1.97,2.53
1552,9.62,0.58,-1.95,2.53
1580,9.55,0.60,-1.97,2.53
1607,9.58,0.51,-1.97,2.53
1636,9.58,0.56,-1.97,2.53
1664,9.54,0.64,-1.97,2.53
1692,9.55,0.47,-1.96,2.53
1720,9.54,0.53,-1.97,2.53
1747,9.58,0.53,-1.97,2.53
1776,9.60,0.52,-1.96,2.53
1804,9.65,0.57,-1.88,2.52
1832,9.57,0.53,-2.00,2.53
1860,9.59,0.58,-1.98,2.52
1889,9.58,0.52,-1.94,2.52
1916,9.67,0.55,-1.89,2.53
1944,9.60,0.60,-1.94,2.53
1973,9.60,0.56,-1.98,2.53
2000,9.59,0.54,-1.94,2.53
2029,9.65,0.49,-1.91,2.53
2057,9.65,0.57,-1.88,2.53
2085,9.58,0.56,-1.97,2.53
2113,9.63,0.55,-2.04,2.53
2141,9.62,0.54,-1.96,2.53
2169,9.56,0.50,-1.99,2.53
2197,9.61,0.59,-1.98,2.53
2226,9.61,0.55,-2.00,2.53
2253,9.60,0.57,-2.02,2.53
2281,9.50,0.49,-1.92,2.53
2310,9.64,0.53,-2.05,2.53
2337,9.62,0.55,-1.93,2.52
2366,9.48,0.51,-2.00,2.52
2394,9.54,0.54,-2.03,2.53
2422,9.61,0.59,-1.93,2.53
2450,9.52,0.55,-1.93,2.53
2478,9.57,0.50,-1.89,2.53
2506,9.53,0.55,-1.98,2.53
2534,9.58,0.61,-1.97,2.53
2563,9.61,0.53,-1.98,2.53
2590,9.53,0.55,-1.97,2.53
2619,9.66,0.55,-1.87,2.53
2647,9.59,0.51,-1.90,2.53
2674,9.55,0.52,-1.92,2.53
2703,9.63,0.56,-2.01,2.53
2731,9.59,0.52,-1.89,2.53
2759,9.56,0.54,-1.91,2.53
2787,9.64,0.57,-1.97,2.53
2816,9.52,0.59,-1.98,2.54
2843,9.59,0.55,-2.01,2.53
2871,9.61,0.51,-1.98,2.53
2899,9.56,0.53,-1.88,2.53
2927,9.54,0.52,-1.98,2.52
2956,9.56,0.51,-1.99,2.53
2983,9.55,0.51,-1.95,2.53
3011,9.51,0.54,-1.96,2.53
3040,9.56,0.53,-1.97,2.53
3067,9.59,0.55,-1.92,2.53
3096,9.59,0.54,-1.93,2.53
3124,9.59,0.57,-2.01,2.53
3152,9.61,0.50,-1.95,2.53
3180,9.61,0.56,-2.00,2.53
3208,9.48,0.54,-2.04,2.53
3236,9.65,0.51,-2.04,2.53
3264,9.53,0.53,-1.95,2.53
3293,9.59,0.53,-1.94,2.53
3320,9.60,0.57,-1.98,2.53
3349,9.58,0.48,-1.99,2.52
3377,9.61,0.56,-2.05,2.53
3404,9.55,0.52,-1.90,2.53
3433,9.61,0.57,-2.07,2.53
3461,9.52,0.53,-1.92,2.53
3489,9.55,0.51,-1.97,2.52
3517,9.53,0.57,-2.03,2.53
3545,9.60,0.58,-1.98,2.53
3573,9.55,0.51,-1.95,2.53
3601,9.52,0.52,-2.03,2.53
3630,9.55,0.48,-1.96,2.53
3657,9.56,0.51,-1.95,2.54
3686,9.57,0.59,-1.98,2.53
3714,9.59,0.50,-1.99,2.53
3741,9.56,0.55,-1.97,2.53
3770,9.55,0.53,-1.96,2.53
3798,9.63,0.57,-1.96,2.53
3826,9.59,0.51,-1.96,2.53
3854,9.58,0.53,-1.92,2.53
3883,9.62,0.54,-1.99,2.53
3910,9.56,0.57,-1.91,2.53
3938,9.62,0.55,-1.94,2.52
3966,9.65,0.59,-1.94,2.52
3994,9.52,0.60,-1.93,2.53
4023,9.63,0.53,-1.96,2.53
4050,9.67,0.52,-2.01,2.52
4078,9.63,0.51,-2.03,2.53
4107,9.59,0.50,-2.07,2.52
4134,9.62,0.56,-1.90,2.53
4163,9.57,0.55,-1.97,2.52
4191,9.59,0.52,-2.03,2.54
4219,9.63,0.49,-1.91,2.53
4247,9.56,0.56,-1.93,2.53
4275,9.65,0.52,-2.01,2.53
4303,9.62,0.57,-1.94,2.53
4331,9.57,0.57,-1.99,2.53
4360,9.59,0.57,-1.95,2.52
4387,9.65,0.51,-1.99,2.53
4416,9.62,0.55,-1.98,2.53
4444,9.61,0.55,-1.98,2.53
4471,9.59,0.49,-1.95,2.53
4500,9.63,0.56,-1.95,2.53
4528,9.49,0.55,-2.00,2.53
4556,9.60,0.49,-1.93,2.52
4584,9.58,0.53,-1.99,2.52
4613,9.57,0.54,-1.94,2.52
4640,9.58,0.62,-2.06,2.53
4668,9.65,0.57,-1.96,2.53
4697,9.56,0.51,-1.98,2.53
4724,9.59,0.53,-2.01,2.53
4753,9.56,0.55,-1.98,2.53
4781,9.53,0.46,-1.95,2.53
4808,9.58,0.53,-2.05,2.53
4837,9.57,0.54,-2.03,2.53
4865,9.56,0.55,-1.97,2.53
4893,9.59,0.57,-1.99,2.53
4921,9.58,0.51,-2.03,2.53
4950,9.62,0.50,-2.05,2.53
4977,9.57,0.57,-1.89,2.53
5005,9.57,0.53,-1.91,2.53
5033,9.60,0.54,-2.02,2.53
5061,9.63,0.53,-1.93,2.53
5090,9.53,0.57,-1.90,2.53
5117,9.55,0.52,-2.02,2.53
5146,9.57,0.50,-1.92,2.53
5174,9.54,0.55,-1.96,2.53
5201,9.58,0.50,-2.01,2.52
5230,9.62,0.55,-1.93,2.52
5258,9.56,0.54,-1.89,2.52
5286,9.59,0.50,-2.06,2.53
5314,9.52,0.56,-1.96,2.53
5342,9.53,0.57,-1.93,2.53
5370,9.66,0.56,-2.04,2.54
5398,9.54,0.57,-2.00,2.53
5427,9.62,0.52,-1.98,2.53
5454,9.59,0.57,-1.99,2.53
5483,9.65,0.56,-2.00,2.53
5511,9.56,0.56,-1.93,2.53
5538,9.61,0.53,-2.06,2.53
5567,9.65,0.51,-2.00,2.53
5595,9.58,0.60,-2.01,2.53
5623,9.65,0.55,-2.02,2.53
5651,9.56,0.56,-1.94,2.52
5680,9.53,0.58,-1.92,2.53
5707,9.56,0.55,-1.97,2.53
5735,9.48,0.51,-1.95,2.53
5764,9.60,0.47,-1.90,2.53
5791,9.62,0.49,-1.95,2.53
5820,9.60,0.57,-2.14,2.53
5848,9.55,0.59,-1.97,2.52
5875,9.68,0.50,-1.95,2.52
5904,9.51,0.52,-2.00,2.53
5932,9.59,0.56,-1.90,2.53
5960,9.62,0.53,-2.04,2.52
5988,9.59,0.55,-2.02,2.52
6017,9.60,0.55,-2.03,2.53
6044,9.55,0.57,-2.00,2.53
6072,9.59,0.52,-1.95,2.53
6100,9.55,0.45,-1.97,2.53
6128,9.62,0.58,-1.98,2.53
6157,9.54,0.51,-2.01,2.53
6184,9.53,0.51,-1.91,2.53
6213,9.51,0.51,-1.94,2.53
6241,9.53,0.59,-1.90,2.53
6268,9.58,0.58,-1.91,2.53
6297,9.54,0.53,-1.99,2.53
6325,9.49,0.50,-1.95,2.53
6353,9.54,0.52,-1.91,2.53
6381,9.57,0.55,-1.92,2.52
6410,9.57,0.48,-1.93,2.53
6437,9.60,0.57,-1.97,2.53
6465,9.57,0.47,-2.04,2.53
6494,9.52,0.52,-1.99,2.53
6521,9.58,0.56,-1.99,2.53
6550,9.55,0.55,-1.96,2.53
6578,9.56,0.53,-2.00,2.53
6605,9.62,0.51,-1.94,2.53
6634,9.52,0.55,-2.00,2.53
6662,9.58,0.50,-1.93,2.53
6690,9.54,0.51,-2.02,2.53
6718,9.52,0.53,-1.94,2.53
6747,9.57,0.57,-1.95,2.53
6774,9.66,0.53,-1.96,2.52
6802,9.55,0.55,-1.95,2.52
6831,9.57,0.57,-1.94,2.53
6858,9.59,0.55,-2.02,2.53
6887,9.52,0.52,-1.97,2.53
6915,9.57,0.48,-2.03,2.53
6943,9.54,0.55,-1.95,2.53
6971,9.61,0.57,-2.02,2.53
6999,9.63,0.56,-1.95,2.53
7027,9.66,0.52,-1.98,2.53
7055,9.54,0.55,-1.89,2.53
7084,9.58,0.51,-1.95,2.53
7111,9.56,0.55,-1.96,2.53
7139,9.58,0.54,-1.97,2.53
7168,9.61,0.54,-1.99,2.53
7195,9.62,0.53,-2.01,2.53
7224,9.64,0.57,-1.94,2.53
7251,9.57,0.54,-2.01,2.53
7280,9.57,0.51,-1.95,2.52
7308,9.53,0.52,-1.97,2.53
7335,9.64,0.54,-1.98,2.53
7364,9.58,0.53,-1.93,2.53
7392,9.66,0.54,-1.93,2.53
7420,9.63,0.52,-1.92,2.53
7448,9.57,0.55,-1.97,2.53
7477,9.58,0.59,-1.98,2.53
7504,9.63,0.51,-1.99,2.53
7532,9.56,0.55,-1.94,2.53
7561,9.64,0.56,-2.01,2.53
7588,9.64,0.52,-2.03,2.53
7617,9.61,0.58,-1.99,2.53
7645,9.60,0.55,-2.01,2.53
7672,9.54,0.48,-2.00,2.53
7701,9.56,0.60,-1.97,2.52
7729,9.60,0.53,-1.96,2.53
7757,9.57,0.52,-1.94,2.53
7785,9.55,0.57,-2.01,2.53
7814,9.55,0.58,-2.01,2.53
7841,9.55,0.52,-1.86,2.53
7869,9.60,0.60,-2.09,2.53
7898,9.57,0.55,-2.00,2.53
7925,9.48,0.50,-1.90,2.53
7954,9.54,0.57,-1.91,2.53
7982,9.57,0.56,-1.84,2.53
8010,9.56,0.55,-1.93,2.52
8038,9.60,0.58,-2.03,2.53
