Time,X,Y,Z,Sound
309,38.62,-3.49,-6.99,0.34
314,9.39,-0.75,-1.67,0.77
318,9.58,-0.87,-1.74,0.35
345,9.66,-0.80,-1.71,0.09
373,9.53,-0.85,-1.67,0.20
401,9.71,-0.85,-1.77,0.33
430,9.56,-0.87,-1.70,0.23
457,9.69,-1.02,-1.83,0.15
486,9.58,-0.80,-1.77,0.35
514,9.66,-0.85,-1.75,0.25
541,9.54,-0.76,-1.69,0.11
570,9.72,-0.74,-1.79,0.12
598,9.62,-0.73,-1.70,0.64
626,9.68,-0.85,-1.72,0.20
654,9.61,-0.82,-1.81,0.24
681,9.55,-0.80,-1.76,0.15
710,9.63,-0.83,-1.65,0.56
738,9.48,-0.80,-1.76,0.13
766,9.65,-0.86,-1.70,0.12
794,9.56,-0.84,-1.59,0.28
823,9.86,-0.80,-1.66,0.19
850,9.62,-0.82,-1.75,0.20
878,9.62,-0.80,-1.72,0.15
907,9.58,-0.78,-1.77,0.25
934,9.69,-0.75,-1.70,0.13
963,9.52,-0.63,-1.71,0.13
991,9.66,-0.78,-1.73,0.24
1019,9.63,-0.88,-1.81,0.20
1048,9.68,-0.85,-1.64,0.22
1077,9.49,-0.79,-1.71,0.27
1106,9.72,-0.75,-1.74,0.24
1135,9.47,-0.90,-1.81,0.28
1165,9.60,-0.87,-1.72,0.31
1193,9.62,-0.76,-1.74,0.27
1223,9.56,-0.75,-1.66,0.19
1252,9.73,-0.78,-1.71,0.30
1281,9.52,-0.71,-1.75,0.32
1310,9.69,-0.81,-1.80,0.39
1339,9.53,-0.82,-1.73,0.19
1369,9.67,-0.87,-1.84,0.19
1397,9.62,-0.91,-1.72,0.22
1427,9.57,-0.76,-1.69,0.17
1456,9.63,-0.84,-1.81,0.27
1485,9.60,-0.72,-1.72,0.34
1514,9.64,-0.86,-1.69,0.31
1543,9.64,-0.89,-1.77,0.11
1572,9.57,-0.80,-1.67,0.28
1601,9.69,-0.79,-1.68,0.39
1631,9.57,-0.76,-1.75,0.74
1659,9.69,-0.82,-1.76,0.32
1689,9.54,-0.89,-1.75,0.27
1718,9.70,-0.76,-1.69,0.10
1746,9.69,-0.91,-1.66,0.33
1776,9.62,-0.82,-1.72,0.22
1805,9.73,-0.89,-1.77,0.37
1835,9.52,-0.80,-1.73,0.11
1863,9.61,-0.95,-1.78,0.12
1893,9.65,-0.77,-1.71,0.31
1922,9.67,-0.76,-1.71,0.30
1951,9.73,-0.78,-1.58,0.20
1980,9.55,-0.65,-1.70,0.39
2009,9.77,-0.81,-1.78,0.16
2038,9.53,-0.88,-1.74,0.11
2067,9.61,-0.85,-1.88,0.24
2097,9.76,-0.75,-1.70,0.32
2125,9.54,-0.70,-1.70,0.38
2155,9.76,-0.82,-1.73,0.19
2184,9.53,-0.91,-1.74,0.10
2212,9.61,-0.91,-1.70,0.17
2242,9.58,-0.85,-1.69,0.27
2271,9.56,-0.91,-1.67,0.29
2300,9.69,-0.77,-1.66,0.26
2329,9.52,-0.78,-1.71,0.27
2359,9.56,-0.96,-1.85,0.21
2387,9.55,-0.83,-1.78,0.20
2417,9.56,-0.89,-1.78,0.32
2446,9.68,-0.81,-1.64,0.68
2475,9.56,-0.78,-1.60,0.12
2504,9.69,-0.78,-1.70,0.31
2533,9.45,-0.81,-1.73,0.22
2563,9.54,-0.95,-1.78,0.39
2591,9.54,-0.88,-1.70,0.57
